Vardas                   Pavarde                    ND1       ND2       ND3       ND4       ND5       ND6       ND7       ND8       ND9      ND10      ND11      ND12      ND13      ND14      ND15      ND16      ND17      ND18      ND19      ND20      Egz.
Vardas3554           Pavarde3554                      7         4         3         1         7         6         4         8         8         4        10        10         4         8         7         3         6         7         6         7         4
Vardas3555           Pavarde3555                      5        10         4         4         9         8         6         4         9         1        10         4        10         4         3         8         5         5         5         1         6
Vardas3556           Pavarde3556                      5         4         2         5         7         6         7         6        10         3         3         3         3         7         6         1         9         5         6         2         2
Vardas3557           Pavarde3557                      6        10        10         8         7         8         9         8         6         3         9         4        10         8         9         7         8         2         9         9         6
Vardas3558           Pavarde3558                      5         1         4         8         1         8         6         3        10         1         8         6         1         2         9         9         6        10         1        10         2
Vardas3559           Pavarde3559                      1         3         5         1         2         5         2        10         9         2         8         9         5         3         6         5         3         7         4         3         5
Vardas3560           Pavarde3560                      7         7         5         6         8         2         2         1         6         3         6         6         5         9         4         8         6        10         4         1         4
Vardas3561           Pavarde3561                      2         9         8         7         4        10         3         9         4         3         5         6         3         4         6         9         8         2         3         7         3
Vardas3562           Pavarde3562                      1         2         9         2         5         8         3         4        10        10         4        10         9         6         7         7         3         2         8         2         1
Vardas3563           Pavarde3563                      4         5         9        10        10         4         9         9         7         1         8         6         6        10         8         6         1         1         9         2         1
Vardas3564           Pavarde3564                      3         7         2        10        10         8         9         4         4         1         7         4         8         8         1         2         1         5         3         7         6
Vardas3565           Pavarde3565                      7         5         2         9         2         3         2         8         5         8         3         5         9         5         2        10         8         1         7         7         1
Vardas3566           Pavarde3566                      2        10         5         3         5         8         5         5        10         2         7         3         9         9        10         6         3        10         2         9         5
Vardas3567           Pavarde3567                      7         9        10         7         1         4         3         4         1         3         4         3         2         5         4         9         4        10        10         5         5
Vardas3568           Pavarde3568                      1         1         6         4         5         9         1         4         6         6         2         1         1         7         4         8         9        10         6         6         2
Vardas3569           Pavarde3569                      9         9         4         4         7         7        10         7         4         9         2         5         7         3         3         6         5         8        10         9         3
Vardas3570           Pavarde3570                      6        10         4         6        10         3         3         4         8         2         1         8         3         5         8         5         6         9         6         1         5
Vardas3571           Pavarde3571                      9        10         6         9         8         2         6         4         6        10        10         6        10        10         3         1         3         6         3         7         3
Vardas3572           Pavarde3572                      1         9         5         4         3         5        10         4         3         7         5         9        10         1         6         9         7         5         4         6         4
Vardas3573           Pavarde3573                      3         4         3         9         3         6         4         8         1         5         6        10         6        10         6         4         6         8         7         1         7
Vardas3574           Pavarde3574                      2        10         7         1         2         1         9         1         7         9        10         9         3         5        10         5         1         3         5         7        10
Vardas3575           Pavarde3575                      5         8         6         2         9         1         3         9         4         3         8         6         4         5         6        10         9         9         4        10         2
Vardas3576           Pavarde3576                      5         7         1         4         4         1         4         5         8        10         5         8         9         7         8         5         7         5         4         9         4
Vardas3577           Pavarde3577                      2         9         4         3        10        10         7         9         9         8         6         1         1         7        10         2         7         8         9         9         1
Vardas3578           Pavarde3578                      8         4         7         9         8         3        10         7         9         7         9         5         7         3        10        10         8         3         5         8         6
Vardas3579           Pavarde3579                      4        10         2        10         8         7         4         7         5         7        10        10         9         3         3         8         3        10        10         6         9
Vardas3580           Pavarde3580                      7         7         6         2         4         8         5         4         4         2         1         7         4         6         1         9         3        10         1         6         7
Vardas3581           Pavarde3581                      7         2         3         2         7         6         6         8         5         6         2         2         4         8         6         9         8         2         4         7         3
Vardas3582           Pavarde3582                      3        10         1         5         6        10         1         6         5         2         9         1         7         9         6         3         6         7         7         1         6
Vardas3583           Pavarde3583                      6         1         7         3         2         9         7         6         5         2         2         4         4         1        10         6         3         8         1         5         1
Vardas3584           Pavarde3584                      3         5         9         3         9         2         4         9         9         6         7         7         7         3        10         1         5         4         1         9         7
Vardas3585           Pavarde3585                      2        10         8         5         7         4         7         9         4        10         1         9         4         1         9         5         1         1         7        10        10
Vardas3586           Pavarde3586                      1         7         6         9         8         4         8         2         4        10         2        10         5         4         8         7         4         2         7        10         3
Vardas3587           Pavarde3587                      8         4         9         1        10         4         7         7         6         4         7         1         7         4         7         4         8         6         1         4         1
Vardas3588           Pavarde3588                      8         5         9         7         1         9         8         5        10         6         3         8         3        10         4         2         7         5         7         6         2
Vardas3589           Pavarde3589                      2         1         5         3         6         1         3         1         8        10         6         3         4         3         4         1         8         1         2         8         1
Vardas3590           Pavarde3590                      3         2         9         8         4         2         2         1         7         8         2         3         3         5         9         5         6        10         9         5         4
Vardas3591           Pavarde3591                      6         2         4         9         8         5         7         7         8         4         5         9         2         7         7        10         6         8         5         4         8
Vardas3592           Pavarde3592                      2         1         2         6         8        10        10        10         1         3         6         3         2         5         9         3        10         7         8         2         5
Vardas3593           Pavarde3593                      8        10        10         7        10         5         9         2         7         4         4         8         3         7         5        10         1         7         8         6         8
Vardas3594           Pavarde3594                      4         3         3        10         1         4         2         3         7         6         7         8         5         9         6         7         1        10         2         7         2
Vardas3595           Pavarde3595                      3         5         2         5         4         5         4         3         6         3         5         7         6         6         9         3         6        10         6         6         9
Vardas3596           Pavarde3596                      3         3         6         2         6        10         5         7        10         5         7         6        10         7         4         3         8         3         2         2         1
Vardas3597           Pavarde3597                      7         8         8         1         4         3         8         3        10         2         9         2         8        10         7         3         7         8         3         2         2
Vardas3598           Pavarde3598                      3         7         1         9         1         8         6         8         2         5         5         9         8         1        10         8         6         1         9         3         8
Vardas3599           Pavarde3599                      2         9         2         5         7         2         5         9         9         1        10         2         2         4         1         3         6         3         4         1         9
Vardas3600           Pavarde3600                     10        10         6         8         5         6         9         2         5         8         5         9         5         9         4         8         3         5         5         7         4
Vardas3601           Pavarde3601                      2         2         8         2         1         2         6         4         6        10         3         3         1         4         1         7         2         7         9         1         8
Vardas3602           Pavarde3602                      5         5         4         3         2         5         6         5         7         9         2         4         1         7         3         2         3        10         7         5         6
Vardas3603           Pavarde3603                      1         5         7         1         4         8         5         1         4         7         7         9         7         2         6         6        10         3         8         8        10
Vardas3604           Pavarde3604                      4         1        10         6         1         9         3         6         9         1        10         2         8         1         9         6         8         3         5         2         2
Vardas3605           Pavarde3605                      3         9         9         5         2         3         5         3         8         3         6         7         8        10         2         4         1         5         2         4         4
Vardas3606           Pavarde3606                      8         1         5        10         7         8         2         3         2         2         2         7         2         8         9         9         9         6         3         6         4
Vardas3607           Pavarde3607                      8         2         9         7         2        10         7        10         4         2         4         7         5         2         5         7         5         6         3         7         7
Vardas3608           Pavarde3608                      6         4         5         4         3         5         1         2         4         5         7         1         1         3         8         8         1         9         8         7         6
Vardas3609           Pavarde3609                      2         6        10         4         7         7         8         4         3         7         3         3         7         7         9         3         6         5         3         1         6
Vardas3610           Pavarde3610                      1         3         8         2         9         1         6        10         4         4         6         5         2         6         7        10         3         2         5         2         7
Vardas3611           Pavarde3611                      2         3         2         4         3         7         9         4         3         7         6         2         9         5         2         1         2         2         2         1         7
Vardas3612           Pavarde3612                      3         9         1         6         2         2         6        10         3         2         4         3         8         5         4         4         3         4        10         3         6
Vardas3613           Pavarde3613                      1         2         8         1         6         2         7         2         1         4         2         4         6        10         4         5         9         2         5         9         7
Vardas3614           Pavarde3614                      8         6         4         4         4         2         2         4         1         9         3         4         5         3         9         4         5         6         6        10         4
Vardas3615           Pavarde3615                      4         5         2         1         2         2         3         4        10         7         9         4         8         6         5         8         9         1         3         6         9
Vardas3616           Pavarde3616                     10         7         9         8         9         8         9         3         9         4         1         8         4        10         4         3         6         4         1         2         6
Vardas3617           Pavarde3617                      3         7         7         5         2         4         9         2        10         2         2         9         3         9         8         6         7         2        10         9         8
Vardas3618           Pavarde3618                      2         3         2         4         9         6         8         6         3        10         8        10         4         3         4        10         5        10         8         7         9
Vardas3619           Pavarde3619                      2         7         4         2         1         6         2        10         4         2         9         3         6         4         8         5         3         3         1         8         9
Vardas3620           Pavarde3620                      1         4         6         5         7         8        10         4         8         4         5         1         2         9         5         9         2        10         6         8         9
Vardas3621           Pavarde3621                      5         4         7         4         3         6         4         2         7         5         2         3         3         2         8         2         2         5         7         6         7
Vardas3622           Pavarde3622                      3         2         2         7         2         5         2         2         3         1         9         6         3         8        10         4         1         1         7        10         2
Vardas3623           Pavarde3623                      4        10         9         1         1         7        10         1         9        10         4         7         7         7         9         4         4         7        10         5         9
Vardas3624           Pavarde3624                      3         1         2         2         1         6         9         6         1         2         8         9         2         2         3         3         7         9         3         4         7
Vardas3625           Pavarde3625                      5         9         5        10         4         1         5         2         8         9         1         5         6         6         9        10         2         7         1         6         3
Vardas3626           Pavarde3626                      2         3         9         3         9         9         8         6         8         5         8         1        10         4         3         7         6         9         8         7         9
Vardas3627           Pavarde3627                      5         2         3         9         5         8         3         5         5         8         9         4         3         5         6         2         1         7         9         2         2
Vardas3628           Pavarde3628                      8         3         6         2         3         4         7         1         5         5        10         9         2        10         7         1         2         7         6         3         2
Vardas3629           Pavarde3629                      1         8         5         4         9         3         7         2         3         6         5         2         9         3         1         1         8        10         8         2         7
Vardas3630           Pavarde3630                     10         7         3         6         3         2         7         2         5         1         9         1         3         6         5         2         3         8         3         6         9
Vardas3631           Pavarde3631                      4         8         3         8         8         6         3         9         1         9        10         2         1         6         8         5         7         9         3         6        10
Vardas3632           Pavarde3632                      3         7         2         6         1         2         6         5        10         9         2         6         6         7         9         2         2         9         3         3         6
Vardas3633           Pavarde3633                      6         4        10         2         8         8         8         7         7         7         8         1         7         7         2         6         5         4         5         4         5
Vardas3634           Pavarde3634                     10         1         1         1         5         1         6        10         9         1         8         9         2         2         9         3         8         9         9        10         1
Vardas3635           Pavarde3635                      6         9         3         8         2         9         2         7         6         4         2         9         4        10         7         2         4         7         3         7         1
Vardas3636           Pavarde3636                      9         1         2         8         8         8         5         2         3         4         3         5         4         4         7         4         1         3        10         2         4
Vardas3637           Pavarde3637                      8         7         8         8         7         8         2         3        10         5         4         6         5         9         3         1         7         3         1         8         4
Vardas3638           Pavarde3638                      8         2         6         9         1         8         9         4         1         2         8         9         3         8         4        10         7         7         3         6         3
Vardas3639           Pavarde3639                      3         9         2         5         5         5         5         3         5         8         6         7         4         6         6         3         2         8        10        10         7
Vardas3640           Pavarde3640                      8         7         7         8         3         1         1         8         5         4        10         3         4        10         3         9         7         8         6         2         9
Vardas3641           Pavarde3641                      7         4         4         5         5         1        10         6         5         7         3         6         2         5         2         8         3        10         9        10         4
Vardas3642           Pavarde3642                      3         6         3         5         3         5        10         5         2         8         7         7         2         7         4         7        10         5         3         5         8
Vardas3643           Pavarde3643                      3         3         2         9         4         3         7         2        10         2        10         3         9         3         7         1         7        10        10         2         4
Vardas3644           Pavarde3644                      4         6         2         1         1         5         4        10         9         7         3         1         9         7         4         2         7         2         6         1         7
Vardas3645           Pavarde3645                      4         3         7         1         2        10         7         5         4        10         3         3         2         5         5        10         1         5         9         9         2
Vardas3646           Pavarde3646                      8         3         6         7         1         8         7         9         8         5         3         8         9         9         5        10         2         1         6         3         6
Vardas3647           Pavarde3647                      6         2         2         4         5         5         9         3         1         8         6         1         4         2        10         8         9         3         5         8         6
Vardas3648           Pavarde3648                      1         6         8         4         6         6         1         7         8         2         3         1         6         1         2         4         1         9         2         9         3
Vardas3649           Pavarde3649                      4         7         6         6         2         6         9         9         3         5         3         4        10         1         1         1         5         4        10         9        10
Vardas3650           Pavarde3650                      7         8         4         5         4        10         1         9         6         2         8        10         7         6         7         6         1         1         8         5         6
Vardas3651           Pavarde3651                      5         7         7         3         8         5         1         7         3         9        10         5         3         4         9         5         9         9         1         7         8
Vardas3652           Pavarde3652                      5         9         7        10         5         2        10        10         5         6         5         3         5         2         6         1         1         9        10         5         5
Vardas3653           Pavarde3653                      8         6         9         2         5         6         4         1         8         2         3         7         2        10        10         8         7         3         9         8         3
Vardas3654           Pavarde3654                      2         6        10         7         2         1         5         2         4        10         7         4         6         1         4         2         1         9         8         1        10
Vardas3655           Pavarde3655                     10         6         1         4         5         9         7        10         8         4         3         8        10         9         3         9        10         4         6         9         7
Vardas3656           Pavarde3656                      6         2        10         8         5         1         7         7        10         9        10         5        10         4         4        10         6         5         4        10         6
Vardas3657           Pavarde3657                      8         9         8        10         2         5         9         6         6         1         7         3         6         2         7         9         6        10         4         6         3
Vardas3658           Pavarde3658                      9         5         3        10         2         4         2         4         5         1         5         9         3         8         1         8         2         4         4         2         7
Vardas3659           Pavarde3659                      6         6         6         8         7         8         2         9        10         8         8         7         3         9         8         4         8         2         7         4        10
Vardas3660           Pavarde3660                      2        10         1        10         9         5         2         6        10         3         3         6         1         9         5         2         4         4         7        10         7
Vardas3661           Pavarde3661                      4         2        10         5        10         4         3         4         9         3         3         5         5         1         1         6         9         2        10         4         4
Vardas3662           Pavarde3662                      7         2         2         5         7         3         5        10         8        10         5         8         8         2         8         6         4         8         2         8         3
Vardas3663           Pavarde3663                      9         3         5         4         9        10         1         1         5         5        10         4         3         5         1         8         8         7         5         7        10
Vardas3664           Pavarde3664                      3         5        10         2         5         6         9         4         5         3        10        10         1         1         3         4         4         5         7         7         6
Vardas3665           Pavarde3665                      6        10         6         5         5         8         6         5         9         4         6         7         4         4         5        10         1         3        10         2         4
Vardas3666           Pavarde3666                      2         2         5         8         8         7         9         4         3         8         4         1         9         7         9         3         2         4         5         2         6
Vardas3667           Pavarde3667                      3         2         4         4         4         6         7         9         9         8         6         9         8         1         9         4        10         1         8        10         6
Vardas3668           Pavarde3668                      7         3         4         1         4        10         7         7         5         4         4         8         3         7         6         6         4         7         4         8         6
Vardas3669           Pavarde3669                      2         4        10         7         8         3         9         7         5         2        10         6         4         8        10        10         5         2         2         6         5
Vardas3670           Pavarde3670                     10         2         8         5         5         4         4        10         8         2         6         1         5        10         5         4        10         4         4         8         8
Vardas3671           Pavarde3671                      4         5         1         6         1         5         6         4        10         5         9         7         1         6         7         6         3        10         7         2         5
Vardas3672           Pavarde3672                      5         2        10         1         1         5        10         6         7         2         1         2         1         6         2         8         1         9         2         5         7
Vardas3673           Pavarde3673                      2         2         7         3        10         7         9         8         6         6         5         4         4         6        10         3        10         7         9         3         6
Vardas3674           Pavarde3674                      1         5         4         3         7         2         7         3         6         4         8         4         6        10         9         9        10         9         4         8         9
Vardas3675           Pavarde3675                     10         7         6         1        10         4         3         3         7         1         7         9         2         9         5         8         1         2        10         2         6
Vardas3676           Pavarde3676                     10         1         8         2        10         1         9         1         4         2        10         6         7         3         3         3         9         2         2         8         9
Vardas3677           Pavarde3677                      6         6         9         3         9         5         6        10         8         3         6         7         8        10         8         6         8         9         4         1         2
Vardas3678           Pavarde3678                      3        10         8        10         9         1        10         7         9         3         7         2         4         7         6         5         9         8         7         9         9
Vardas3679           Pavarde3679                      8         8        10         1         5         6         8         3         2         8         7         3         5         3         7         4         2         2         5        10         7
Vardas3680           Pavarde3680                      8        10        10         4         9         7         5         6         1         7         7         2         7        10         1         8         2         4         2         2         2
Vardas3681           Pavarde3681                      2         3         3         2         4         7        10         9         4         1         1         3         4         4        10         4         3         4         3         1         1
Vardas3682           Pavarde3682                      3         4         7         9         5         7         2         5         7         7         5         3         9        10         2         7         1        10        10         2         5
Vardas3683           Pavarde3683                      1         2         7         5         5        10        10         2         7         9         3         6         5         8         5         3         6         3         3         6         8
Vardas3684           Pavarde3684                      1        10         4         8         3         6        10         8         6         2         4         5         5         9         8         2         2         6         7        10         8
Vardas3685           Pavarde3685                      7         7         8         8        10         6         6         8         9         5         7         4         4         2         4         8         5         8         2         8         3
Vardas3686           Pavarde3686                      5         7         3         8         1         4         3         2         3         9         6         8         6         1         5         6         1         7         1         1         8
Vardas3687           Pavarde3687                      3         9         5         5         7         7        10        10         6         3         6         3         1         5        10         9         5         1         2        10         6
Vardas3688           Pavarde3688                      5         4        10        10         4        10         9         3         4        10         2         2         5        10         2         3         3         4         4         7         9
Vardas3689           Pavarde3689                      1         8         3         3         2         8         7         9         5         2         2         8         7         4         5         8        10         7         7         4         2
Vardas3690           Pavarde3690                      8         5        10         3         1         3         3        10         6         6        10         2         2         5         7        10         3         5         1         5         2
Vardas3691           Pavarde3691                      2         8        10         2         7         7         3         3         9         4         8        10         3         4        10        10         8         8         1         1         3
Vardas3692           Pavarde3692                      9        10        10         3         1         5         8         9         2         2         1        10         3         5         1         3         2         5        10         9         7
Vardas3693           Pavarde3693                      3         2         1         7         5         5         2         1         9         9         7         5         1         5         5         8         2         8         9         6         7
Vardas3694           Pavarde3694                      5         7         8         4         7         1         3         9         8         8         9         7         8         5         3        10         6         2        10         7         6
Vardas3695           Pavarde3695                      1         3         5         6         7         6         7         2         6         9         6         2         5         4         7        10         5         3         1         3         5
Vardas3696           Pavarde3696                      8         2        10         4         2         4         3         3         9         7         7         1         1         6         4         8        10         3         6         1         2
Vardas3697           Pavarde3697                      7         7         1         1        10         3        10         8         3         1         7         1         9         6        10         2         2         8         5         7         2
Vardas3698           Pavarde3698                      3         1         4         6         1         8         7         9         8         9         4         6         3         7        10         3         8         3         9         1         3
Vardas3699           Pavarde3699                     10         8         4         5         7         5         3         1         5         1         1         1        10         6         4         5         7         9         9         3         2
Vardas3700           Pavarde3700                     10         5         3         3         6        10         4         4         6         4         7         1        10         5         3        10         9         1         3         7         6
Vardas3701           Pavarde3701                      1        10         4         8         6         9         4         8         2         3         4         1         6         4        10         3         7         8         9         5         6
Vardas3702           Pavarde3702                      2         3         2         1        10         4         1         9         2         5         5         5         6         6         3         1         5         7         4         6         1
Vardas3703           Pavarde3703                      2         5         2         7         1         4         2         7        10         4         9         8         4         1         2         7         4         5         3         1         5
Vardas3704           Pavarde3704                     10         3         4         1        10         6         8         5         3         9         8         5         5        10         7         6         1         7         4         7         5
Vardas3705           Pavarde3705                      1         3         2         4         4         1         4         9         1         7         5         4         8         6         7         2         5         1         6         8         7
Vardas3706           Pavarde3706                      6         7         1         3         8         1         6         8         8        10         3         4         9         5         9         7         4         5         3        10         5
Vardas3707           Pavarde3707                      8         6         8         5         4         4         3         8         3         5         2         3         9         9         1         4         6         9         3         5         2
Vardas3708           Pavarde3708                      4         6         1         5         5         8         2         2         7         7         4         8         7         7         3         6         3         9         1         5         9
Vardas3709           Pavarde3709                      2         4         5         7         9         4         3         9         8         6         3         8         8        10         5        10         5         4         5         1         9
Vardas3710           Pavarde3710                      1         5         6         7         4        10         2        10        10         6         8         8         7         5         1         5         4        10         6         4         7
Vardas3711           Pavarde3711                      3         5         1         8         2         1         3        10         8         9         8         7         3         5         5         9         5         1         1         2         6
Vardas3712           Pavarde3712                      8         4         7         7         2         7         9         9         7         2         6         5         4        10         5         3         6         6         3         6         3
Vardas3713           Pavarde3713                      7         5         1         6         7         6        10        10         9         5         6         9         3         6         6         1         7         7         2         7        10
Vardas3714           Pavarde3714                      7         1         7         2         3         6         5        10         7         2        10         7         8        10         6         7         8         6         6         3         8
Vardas3715           Pavarde3715                      6         6         1        10         2         7         6         3         1         1         7         9         1         1         2         1         7         1         2         9         5
Vardas3716           Pavarde3716                      7        10        10         2         2         3         9         1         4         6         7         5         8        10         2         6         5         8         6        10         5
Vardas3717           Pavarde3717                      9         5         4         7         3         8         1         2        10         4         5         6         1         5         2         7        10         2         1         9         9
Vardas3718           Pavarde3718                      2         4         4         8         2         4        10         3         4         3         2        10         6         9         5         4         3         7         2         9         2
Vardas3719           Pavarde3719                      2         5         3         2         4         5         7         8        10         9         4         9         1         3         7         8        10         8        10        10         3
Vardas3720           Pavarde3720                      2         1         6         5         5         6         5         3         6         2         5         9         4         2         3         8         6         1         8         8        10
Vardas3721           Pavarde3721                      2        10         5         3         5         1         9         3         3         5         4         8         7         3         6         7         2         6         4         4         6
Vardas3722           Pavarde3722                      4         4         9         3         9         3        10         6         4         1         2        10         9        10         4         2        10         8         3         9         5
Vardas3723           Pavarde3723                     10         9         6         6         5         7         1         8         2        10         3         6         2         7         3         9         1         7         8         1         5
Vardas3724           Pavarde3724                      9         2         9         4        10        10         1         3         4         1         9         8         3         4         5         7         2         6         7         1         9
Vardas3725           Pavarde3725                      3         1         3         9         5         1         6         1         2         8         1         1         2         2        10         5         7         4         3         8         2
Vardas3726           Pavarde3726                      5        10         3        10         2         4         1         6         3         6         9         6         7         5         2         2        10         9         8         3         7
Vardas3727           Pavarde3727                      1        10         6         5         1         9         4         8         6         9         2        10         5         1         4         8         3         4         2         3         3
Vardas3728           Pavarde3728                      9         8         1         5         4         3         2         6        10         3         5         8         6         3         9        10         5         4         9         1        10
Vardas3729           Pavarde3729                     10         2         5         3         6         6         1         3         5         8         1         3         7         4         1         7         2         6         3         4         9
